,Host,TOWN,NAME,COUNTRY,Address1,Postcode,PNO,NSF,Branch IDs,Latitude,Longitude
40,TS0131,GRIMSBY,GRIMSBY,ENG,Freshney Place,DN31 1QL,153,2111,TS0131,53.5662837192497,-0.0868701091549724
41,TS0132,BARROW,BARROW IN FURNESS,ENG,10 Portland Walk,LA14 1DB,1449,2196,"TM7617,TS0132",54.1130490272727,-3.22627259090909
42,TS0141,EASTBOURNE,EASTBOURNE,ENG,Unit 6,BN21 3NW,1705,4100,"TM7333,TS0141",50.7690107558798,0.284634715399217
43,TS0147,HANLEY,HANLEY,ENG,Unit Msu 4-5,ST1 1PS,1861,5305,"TM7497,TS0147",53.027537606986,-2.17582103157773
44,TS0157,BLACKPOOL,BLACKPOOL VICTORIA ST,ENG,18/22 Victoria Street,FY1 4RW,1296,3100,"TM7252,TS0157",53.8167730176622,-3.05381184165118
45,TS0158,SWANSEA,SWANSEA,WAL,6-7 Oxford Street,SA1 3AE,1310,5217,"TM7254,TS0158",46.5798893,10.9991425
46,TS0160,STOCKPORT,STOCKPORT,ENG,37 Mersey Way,SK1 1PW,0937 4872,3300,"TM7945,TS0160",53.411248812902,-2.1598757786249
47,TS0163,NORTHAMPTON,NORTHAMPTON,ENG,5 Wood Street,NN1 2ED,1335,3114,"TM7269,TS0163",52.2386776333333,-0.893888266666667
48,TS0164,DARLINGTON,DARLINGTON,ENG,16 Cornmill Centre,DL1 1LS,876,2500,TS0164,54.5256559047588,-1.55381732998363
49,TS0166,GUILDFORD,GUILDFORD,ENG,The Friary Centre,GU1 4YL,954,10900,"TM7205,TS0166",51.236625590526,-0.576625205060411
50,TS0168,PRESTON,PRESTON FISHERGATE,ENG,125/127 Fishergate,PR1 2AH,2552,8800,"TM7017,TS0168",53.7583348666667,-2.69964586666667
51,TS0169,PORTSMOUTH,PORTSMOUTH,ENG,152/154 Commercial Road,PO1 1EX,930,4100,TS0169,50.8006212,-1.0896174
52,TS0170,TRURO,TRURO,ENG,15/16 King Street,TR1 2RQ,2179,3607,"TM7526,TS0170",50.2636733661224,-5.05232573500252
53,TS0172,KINGSTON,KINGSTON UPON THAMES,ENG,34 Clarence Street,KT1 1NR,91,5324,TS0172,51.4106283,-0.3025727
54,TS0174,SOUTHAMPTON,SOUTHAMPTON ABOVE BAR,ENG,33/35 Above Bar Street,SO1 7DX,1344,5812,"TM7207,TS0174",50.903708,-1.4038498
55,TS0175,CARLISLE,CARLISLE,ENG,18/24 English Street,CA3 8HX,1355,2800,"TM7276,TS0175",54.8944689,-2.9366504
56,TS0176,PETERBOROUGH,PETERBOROUGH,ENG,21/23 Queensgate Centre,PE1 1NH,1395,3900,"TM7279,TS0176",52.5739918568794,-0.244771143481647
57,TS0177,SHEFFIELD,SHEFFIELD FARGATE,ENG,33/35 Fargate,S1 2HD,1385,6971,"TM7280,TS0177",53.3820640363904,-1.46846518952708
58,TS0178,EDINBURGH,EDINBURGH PRINCES ST,SCO,30 Princes Street,EH2 2BY,1370,13666,"TM7281,TS0178",55.9528949214286,-3.19278307857143
59,TS0183,MILTON KEYNES,MILTON KEYNES STORE,ENG,32 Midsummer Place,MK9 3GA,488,7530,"TM7143,TS0183",52.0405225,-0.7563854
60,TS0185,LONDONDERRY,LONDONDERRY,NI,Unit M7,BT48 6XY,426,4735,"TM8105,TS0185",-33.6483333,150.7344444
61,TS0191,ASHTON UNDER LYNE,ASHTON UNDER LYNE,ENG,51 Warrington Street,OL6 7JG,1540,1998,"TM7262,TS0191",53.4884849234741,-2.09424579486343
62,TS0197,TELFORD,TELFORD,ENG,"115 The Border, The Mall",TF3 4AE,1524,2067,"TM7305,TS0197",52.6767989168901,-2.44604497594654
63,TS0200,SHREWSBURY,SHREWSBURY,ENG,Unit Lru,SY1 1BN,1824,1930,"TM7028,TS0200",52.7095985691259,-2.75257793335387
64,TS0216,CROYDON,CROYDON NORTH END,ENG,54 North End,CR0 1UG,5025,4440,"TM7189,TS0216",51.3755876016704,-0.101051817531248
66,TS0309,CANARY WHARF,CANARY WHARF,ENG,Topshop Unit 3 Canada Square,E14 5AB,497,2183,"TM8634,TS0309",51.4666151,-0.0968000068121059
67,TS0317,WELWYN GARDEN CITY,WELWYN GARDEN CITY,ENG,"Unit 14, The Howard Centre",AL8 6HA,5311,1622,TS0317,51.8022826,-0.2039953
68,TS0319,ROMFORD,ROMFORD,ENG,Unit 5,RM1 3RL,5067,3770,"TM8488,TS0319",51.5779970169978,0.183252185162146
69,TS0328,CHELMSFORD,CHELMSFORD,ENG,1 High Chelmer,CM1 1XG,5020,3955,"TM7877,TS0328",51.7330592870538,0.472826944418891
70,TS0337,SUNDERLAND,SUNDERLAND,ENG,Unit 21 The Bridges,SR1 3LD,433,4275,"TM7152,TS0337",54.9063062753811,-1.38359956274905
71,TS0379,PORTADOWN,PORTADOWN,NI,8 High St,BT62 1HZ,565,2120,TS0379,37.639026,-77.525969
72,TS0393,SOLIHULL,SOLIHULL,ENG,"Unit Su60, Touchwood Centre",B91 3QF,523,4000,"TM7174,TS0393",52.4130189,-1.7768935
73,TS0451,Z EIRE BLANCHARDSTOWN,BLANCHARDSTOWN,EIR,Unit 221,D15RF61,22,4384,"TM7654,TS0451",53.393269,-6.3899469
74,TS0453,Z EIRE GALWAY,GALWAY,EIR,Unit 9/10/11 Edward Square,H91 RKT0,469,2300,"TM7099,TS0453",53.2892637,-9.01828611815232
75,TS0518,LIVINGSTON,LIVINGSTON,SCO,313/314 Almondvale South,EH54 6GS,901,4612,"TM7394,TS0518",55.8830123,-3.51702154285714
76,TS0520,COLCHESTER,COLCHESTER,ENG,20 Culver Walk,CO1 1XJ,941,4500,"TM7187,TS0520",51.8887129377415,0.900384664814259
77,TS0526,BURY ST EDMUNDS,BURY ST EDMUNDS,ENG,Unit 1/2,IP33 3FA,718,4360,"TM7400,TS0526",52.2461296131222,0.709692765492755
78,TS0535,ABERDEEN,ABERDEEN (BON ACCORD),SCO,"Unit 19a, Bon Accord Centre",AB25 1HZ,904,8139,"TM7484,TS0535",57.1489835711827,-2.10003791892695
79,TS0554,BEDFORD,BEDFORD,ENG,"21/25 Harpur Centre, Midland Road",MK40 1PL,7174,2100,"TM7857,TS0554",52.1369496666667,-0.469310633333333
80,TS0646,ANDOVER,ANDOVER,ENG,42/44 High Street,SP10 1NF,4702,2000,"TM7738,TS0646",51.2079977119715,-1.47890173246116
81,TS0647,BARNSLEY,BARNSLEY,ENG,20/22 Cheapside,S70 1RR,4708,3142,"TM7869,TS0647",53.5520279547262,-1.47987938892599
82,TS0648,BLACKBURN,BLACKBURN,ENG,14/16 Spring Hill,BB1 7JB,4721,3000,"TM7937,TS0648",53.7488456086413,-2.48280315602969
83,TS0653,BURTON ON TRENT,BURTON ON TRENT,ENG,2/4 Swan Walk,DE14 1DD,4733,2630,"TM7818,TS0653",52.802571506924,-1.63162871004641
84,TS0654,DURHAM,DURHAM,ENG,18 Silver Street,DH1 3RB,4761,2721,"TM7485,TS0654",54.7758720006232,-1.57742469645493
85,TS0656,FAREHAM,FAREHAM,ENG,"Unit 21, 13 Westbury Mall",PO16 0PE,4771,2200,"TM7946,TS0656",50.8528982422451,-1.17804637301083
86,TS0659,HORSHAM,HORSHAM,ENG,54 West Street,RH12 1PL,4788,1900,"TM7703,TS0659",51.062685859403,-0.329678193387513
87,TS0671,ST HELENS,ST HELENS,ENG,1 Lagrange Avenue,WA10 1BN,4870,3500,TS0671,53.4518765131608,-2.73687900300366
88,TS0672,STEVENAGE,STEVENAGE,ENG,66/68 Queensway,SG1 1EG,4871,2440,"TM7751,TS0672",51.9033635179182,-0.202143856834364
89,TS0675,TAUNTON,TAUNTON,ENG,54 North Street,TA1 1LX,4877,2356,"TM7752,TS0675",51.0158752917798,-3.10290150120401
90,TS0707,NEWTOWNABBEY,NEWTOWNABBEY,NI,"Unit 4, Abbey Centre",BT37 9UH,558,2026,"TM7195,TS0707",54.59555065,-5.92807936503482
91,TS0710,BASINGSTOKE,BASINGSTOKE,ENG,7/8 Lower Ground Floor,RG21 7AW,566,4600,"TM7199,TS0710",51.2664295830949,-1.08824790238093
92,TS0718,DUNFERMLINE,DUNFERMLINE,SCO,Kingsgate Centre,KY12 7QU,1723,2400,TS0718,56.07252453414,-3.45774790834009
93,TS0719,KENDAL,KENDAL,ENG,"Unit 3, West Moreland Centre",LA9 4LR,952,2500,TS0719,54.3290060868321,-2.74637616695598
94,TS0723,BIRMINGHAM,BIRMINGHAM BULLRING,ENG,Unit Msu2b,B5 4BF,570,20603,"TM7236,TS0723",52.4779817721622,-1.89356471976791
95,TS0726,GLASGOW (FORT),GLASGOW FORT RETAIL PARK,SCO,Glasgow Fort Retail Park,G33 5AL,587,5500,"TM7242,TS0726",55.8712370036407,-4.1432677592203
96,TS0727,BOURNEMOUTH(CASTLEPOINT),CASTLEPOINT,ENG,"Unit N1, Castle Point Shopping Centre",BH8 9UY,578,7112,"TM7243,TS0727",50.7532071273342,-1.84350489907249
97,TS0731,HALIFAX,HALIFAX,ENG,Unit 22 Woolshops,HX1 1RU,607,1840,"TM7273,TS0731",53.7233177615814,-1.85831618464023
98,TS0732,BALLYMENA,BALLYMENA,NI,"Unit 52-53, Fairhill Shopping Centre",BT43 6UF,601,3500,"TM7275,TS0732",54.86933645,-6.2794732192465
99,TS0734,BOURNEMOUTH,BOURNEMOUTH,ENG,Unit 2,BH1 1BU,608,3700,"TM7278,TS0734",50.74467035,-1.85798090318094
100,TS0743,MANCHESTER,MANCHESTER (ARNDALE),ENG,Msu3 Northern Ext,M4 3AQ,692,25573,"TM7299,TS0743",53.483981,-2.2402409
101,TS0744,DONCASTER,DONCASTER,ENG,24 Upper West Mall,DN1 1LF,639,6648,"TM7353,TS0744",53.5239634156893,-1.13857158204181
102,TS0745,MAIDSTONE,MAIDSTONE FREMLINS CNTR,ENG,19/21 Fremlin Walk,ME14 1QG,627,6139,"TM7354,TS0745",51.2751579182325,0.520847701585243
103,TS0746,HARLOW,HARLOW WATER GARDENS,ENG,"Unit 6, Water Gardens Shopping Centre",CM20 1AN,630,4000,"TM7355,TS0746",51.7671878,0.096197
104,TS0747,NOTTINGHAM,NOTTINGHAM (VICTORIA),ENG,136 Victoria Centre,NG1 3QD,635,15080,"TM7356,TS0747",52.95692885,-1.146972525
105,TS0748,CANTERBURY,CANTERBURY WHITEFRIARS,ENG,1-3 Whitefriars Street,CT1 2TA,637,10000,"TM7357,TS0748",51.2768662881026,1.08174945968111
106,TS0749,EXETER,EXETER PRINCESSHAY,ENG,Exeter Princesshay,EX1 1GB,641,5298,"TM7358,TS0749",50.7252107559396,-3.52728097911406
107,TS0750,CRAIGAVON,CRAIGAVON,NI,"Unit C, Rushmere Shopping Centre",BT64 1AA,628,3100,"TM7359,TS0750",-33.7946398,150.9813423
108,TS0753,BRADFORD,BRADFORD BROADWAY,ENG,Unit Msuo3,BD11US,1020,4536,"TM7479,TS0753",53.79470785,-1.74992804778044
109,TS0758,NUNEATON,NUNEATON,ENG,Ropewalk,CV11 5QH,680,4500,"TM7365,TS0758",52.5215800658649,-1.4684875704992
110,TS0759,WIGAN,WIGAN,ENG,Unit 1,WN1 1BH,720,4932,"TM7366,TS0759",53.5465747914311,-2.6293631786429
111,TS0763,WARRINGTON,WARRINGTON,ENG,Unit Su3,WA1 1QB,739,7000,"TM7369,TS0763",53.3899432,-2.594526
112,TS0765,DERBY,DERBY,ENG,Su208/307,DE1 2PQ,741,8400,"TM7370,TS0765",52.9196550315789,-1.47323935263158
113,TS0766,Z EIRE DUBLIN (ST STEPH),DUBLIN ST STEPHENS,EIR,6-7 St Stephens Green,D02 X827,705,14135,TS0766,53.3390493,-6.2569508
114,TS0768,ENFIELD,ENFIELD,ENG,12 Hutton Walk,EN2 6BH,717,4605,"TM7378,TS0768",51.67193505,-0.0332490756229035
115,TS0769,HIGH WYCOMBE,HIGH WYCOMBE,ENG,Unit 43,HP11 2BY,738,4390,"TM7392,TS0769",51.6295891588696,-0.755162098834289
116,TS0772,YORK,YORK COPPERGATE,ENG,3 St Mary's Square,YO1 9NY,708,10300,"TM7938,TS0772",53.9574,-1.0799466
117,TS0773,GLOUCESTER,GLOUCESTER,ENG,8-8a Eastgate Street,GL1 1PA,712,4000,"TM7948,TS0773",51.8647246296421,-2.24532325446425
118,TS0784,BROMLEY,BROMLEY,ENG,145 High St,BR1 1JD,747,12010,"TM7844,TS0784",51.4048474272514,0.0153298535955656
119,TS0785,MIDDLESBROUGH,MIDDLESBROUGH,ENG,92 Linthorpe Road,TS1 2JZ,750,9030,"TM7778,TS0785",54.5752268607782,-1.23690921624681
120,TS0786,GREENOCK,GREENOCK,SCO,30 Hamilton Way,PA15 1RH,4079,1100,TS0786,55.9485706698595,-4.75882246271085
121,TS0788,Z EIRE CORK,CORK,EIR,,,793,9523,"TM7736,TS0788",48.0565135,-4.1119257
122,TS0857,HULL,HULL ST STEPHENS CENTRE,ENG,"Unit 12, 13",HU2 8LN,787,8400,"TM7445,TS0857",53.7454256852662,-0.349511797437794
123,TS0864,CARDIFF,CARDIFF,WAL,Unit 1 Andrews Buildings,CF10 2AS,699,19487,"TM7491,TS0864",51.5304006,-3.2510664
124,TS0870,BELFAST,BELFAST VICTORIA SQUARE,NI,Msu2 Victoria Square,BT1 4QG,806,19502,"TM7513,TS0870",54.59555065,-5.92807936503482
125,TS0873,LONDON (CITY),CHEAPSIDE,ENG,Unit Msu1,EC2V 6AH,820,10300,"TM7580,TS0873",51.5140982676524,-0.0949137630593093
126,TS0874,LONDON (WHITE CITY),WHITE CITY,ENG,2039-2041,W12 7GE,798,18581,"TM7588,TS0874",51.5074173852427,-0.221360685945052
127,TS0875,CAMBERLEY,CAMBERLEY,ENG,3/5 Cambridge Walk,GU15 3SW,7192,1900,"TM7589,TS0875",51.3376625237768,-0.74648905865756
128,TS0879,PLYMOUTH,PLYMOUTH,ENG,Unit 43/44 Drakes Circus,PL1 1EA,799,7549,"TM7598,TS0879",50.3723172288433,-4.13816895222987
129,TS0880,CAMBRIDGE,CAMBRIDGE,ENG,Unit Su 15 & 42,CB2 3AX,802,12600,"TM7609,TS0880",52.2045108768988,0.12243169040015
130,TS0885,GLASGOW (SILVERBURN),GLASGOW SILVERBURN,SCO,Silverburn Shopping Centre,G53 6AG,807,5819,"TM7612,TS0885",55.8221106549371,-4.34221124806501
131,TS0891,NEWCASTLE UPON TYNE,NEWCASTLE ELDON SQUARE,ENG,Units 3-7 St. Andrews Way,NE1 7XD,870,15088,"TM7664,TS0891",54.9731943184377,-1.61659043304394
132,TS0893,WAKEFIELD,WAKEFIELD,ENG,Unit G11 & G12,WF1 1QR,939,5000,"TM7361,TS0893",53.6849427953932,-1.49654295091195
133,TS0894,WINDSOR,WINDSOR,ENG,33 King Edward Court,SL4 1TG,830,3683,TS0894,51.482579474247,-0.610993674951536
134,TS0931,LEICESTER,LEICESTER,ENG,Units 87/88 & 108/109,LE1 4FQ,838,8855,"TM7740,TS0931",52.6362436897644,-1.13528680957916
135,TS0932,BATH,BATH,ENG,Unit 10/11,BA1 1PQ,839,8086,"TM7737,TS0932",51.3791130451477,-2.35832034467259
136,TS0933,SHEFFIELD (MEADOWHALL),MEADOWHALL,ENG,9/15 Park Lane,S9 1EL,853,15500,"TM7741,TS0933",53.4146877148088,-1.40932402799025
137,TS0934,Z EIRE ATHLONE,ATHLONE,EIR,Unit 36,N37 NN28,850,2200,TS0934,53.43022975,-7.89766989616603
138,TS0938,READING,READING ORACLE CTR,ENG,"Unit 43, Town Mall",RG1 2AS,171,10800,"TM7096,TS0938",51.4529629,-0.97187085
139,TS0961,BRISTOL,BRISTOL CABOT CIRCUS,ENG,Lower Ground Su25,BS1 3BA,724,12819,"TM7760,TS0961",51.4584164662284,-2.58567655445041
140,TS0962,SWINDON,SWINDON,ENG,Su1,SN1 1BL,897,3800,"TM7761,TS0962",51.5618917,-1.7861816
141,TS1012,MANCHESTER (TRAFFORD C),TRAFFORD CENTRE,ENG,130-134 Regent Crescent,M17 8AF,1056,26093,"TM7788,TS1012",53.46255895,-2.34611903044906
142,TS1036,DUNDEE,DUNDEE,SCO,L12 -14 Overgate,DD1 1UE,927,4462,"TM7380,TS1036",56.4590904874538,-2.97458139581251
143,TS1040,TUNBRIDGE WELLS,TUNBRIDGE WELLS,ENG,13-17 Calverley Road,TN1 2TB,916,6425,"TM7868,TS1040",51.13422665,0.264452066666667
144,TS1041,DOUGLAS (IOM),DOUGLAS IOM,IOM,32/36 Strand Centre,IM1 2ER,976,3012,"TM7872,TS1041",54.153731,-4.5361958
145,TS1049,BASILDON,BASILDON,ENG,24/25 Eastgate Centre,SS14 1AE,946,3200,"TM7944,TS1049",51.5700195236142,0.464007872057603
147,TS1054,LONDON (KNIGHTSBRIDGE),KNIGHTSBRIDGE,ENG,70 Brompton Road,SW3 1ER,910,10190,"TM7014,TS1054",51.4997736386709,-0.164214811164383
148,TS1055,CHICHESTER,CHICHESTER,ENG,89-91 East Street,PO19 1HA,936,4198,"TM7069,TS1055",50.836318,-0.778100414285714
149,TS1061,SALISBURY,SALISBURY,ENG,Units 27-29 & 31-33,SP1 2AA,942,3850,"TM7151,TS1061",51.0680812004553,-1.79547688324543
150,TS1064,BURY,BURY,ENG,Unit E03 The Rock,BL9 0JL,932,4000,"TM7172,TS1064",53.5951925091956,-2.29079511534322
151,TS1081,WANDSWORTH,WANDSWORTH,ENG,"Unit 42/44, High Street",SW18 4TF,947,3000,TS1081,51.45488658,-0.1929248
152,TS1082,INVERNESS,INVERNESS,SCO,"Units 63, 64 & 65 Eastgate Shopping Centre",IV2 3PP,966,4500,"TM7217,TS1082",57.4788126,-4.2205434
153,TS1089,NEWBURY,NEWBURY,ENG,Unit 8/9 Parkway,RG14 1EE,953,3250,"TM7420,TS1089",51.4058808241785,-1.3222795232028
154,TS1090,STRATFORD (WESTFIELD),STRATFORD WESTFIELD,ENG,"Su 2016, 223-224 The Arcade",E20 1EQ,964,19500,"TM7428,TS1090",51.5436306833333,-0.0072226
155,TS1135,AYLESBURY,AYLESBURY,ENG,Friars Square Shopping Centre,HP20 2QF,984,2700,"TM8665,TS1135",51.815295892788,-0.813334944132557
156,TS1206,Z USA CHICAGO,CHICAGO,US,830 North Michigan Avenue,60611,2999,21200,"TM7572,TS1206",41.9013755,-87.623854
157,TS1214,STAINES,STAINES,ENG,15/16 South Mall,TW18 4QT,967,3300,"TM7655,TS1214",51.434012,-0.511044
158,TS1232,THURROCK (LAKESIDE),LAKESIDE,ENG,334/336 Lakeside Shopping Centre,RM20 2ZH,957,17650,"TM7709,TS1232",51.4874256273321,0.283780895739933
159,TS1239,Z USA LAS VEGAS,LAS VEGAS,US,3200 Las Vegas Boulevard South,89109,2998,15000,"TM7719,TS1239",36.1185367,-115.1610659
160,TS1248,BRIGHTON,BRIGHTON,ENG,Unit Msu 7,BN1 2TE,994,14185,"TM7726,TS1248",50.8229757,-0.1454397
161,TS1271,Z USA LOS ANGELES,LOS ANGELES,US,189 The Grove Drive,90036,2997,17050,"TM8104,TS1271",34.0672325901663,-118.352108353403
162,TS1273,LOUGHBOROUGH,LOUGHBOROUGH,ENG,17 Carillion Court,LE11 3EA,969,2700,"TM8106,TS1273",52.771299725,-1.206875325
163,TS1274,MAIDENHEAD,MAIDENHEAD,ENG,45-49 Nicholson Shopping Centre,SL6 1PY,973,2750,"TM8114,TS1274",51.522913232647,-0.721018695787853
164,TS1291,EAST KILBRIDE,EAST KILBRIDE,SCO,Unit Lr1/2,G74 1LL,980,3840,"TM8394,TS1291",55.7601775550406,-4.18278677513311
165,TS1312,AYR,AYR,SCO,Unit 6,KA7 1TN,981,3500,"TM8412,TS1312",55.4597793,-4.6264503
166,TS1313,WHITELEY,WHITELEY VILLAGE,ENG,Whiteley Way,PO15 7PD,988,5000,"TM8413,TS1313",50.8852330426813,-1.24632432605335
167,TS1319,LONDON (MARBLE ARCH),MARBLE ARCH,ENG,536-540 Oxford Street,W1C 1LS,805,6620,"TM8757,TS1319",51.513261,-0.159628
168,TS1321,WOKING,WOKING,ENG,Unit 46,GU21 6GD,989,3000,"TM8420,TS1321",51.3199038243216,-0.560401830923909
170,TS1354,DARTFORD (BLUEWATERPARK),BLUEWATER PARK,ENG,"Unit 27-58, Upper Rose Gallery",DA9 9SP,992,14800,"TM8487,TS1354",51.4393959,0.2711872
171,TS2806,BRISTOL (CRIBBSCAUSEWAY),BRISTOL CRIBBS CAUSEWAY,ENG,"Unit 49 Lower Level, The Mall",BS34 5GG,985,6200,"TM8451,TS2806",51.5252091993175,-2.59573012402087
172,TS2834,NEWRY,NEWRY,NI,Unit 9a The Quays Shopping Centre,BT35 8QS,1015,3300,"TM8503,TS2834",40.3936845,-78.4355697
173,TS2851,HUDDERSFIELD,HUDDERSFIELD KINGSGATES,ENG,Unit 26 Kingsgates Centre,HD1 2QB,995,4500,"TM8475,TS2851",53.6459748976988,-1.77919793267774
174,TS2852,CHELTENHAM,CHELTENHAM REGENT ARCADE,ENG,"Unit Msu 3, Regent High Street Shopping Center",GL50 1JZ,1007,6477,"TM8494,TS2852",51.8992486,-2.0756476
175,TS2879,OXFORD,OXFORD,ENG,22 Queen Street,OX1 1EP,1061,10100,"TM8571,TS2879",51.7514758745725,-1.2593504284495
176,TS2880,SUTTON COLDFIELD,SUTTON COLDFIELD,ENG,204 The Parade,B72 1PB,1021,3000,"TM8573,TS2880",52.5620913180707,-1.82560476233488
